Category,Resume
Data Science,"Experienced Data Scientist with 4 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2020. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 1 years experience. B.Tech CSE 2021."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 2 years. MCA 2015."
Web Developer,"Full Stack Web Developer with 7 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2023. Built scalable web applications and RESTful APIs."
Android Developer,"Android Developer with 7 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2022. Published multiple apps on Google Play Store."
Android Developer,"Android Developer with 5 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2019. Published multiple apps on Google Play Store."
Testing,"QA Engineer with 6 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2017."
Data Science,"Data Scientist with 6 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2018. Experience in building end-to-end ML pipelines and deploying models to production."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 4 years experience. B.Tech 2020."
SQL Developer,"SQL Developer with 7 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2023."
Testing,"QA Engineer with 6 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2016."
Testing,"QA Engineer with 7 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2022."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 8 years experience. B.Tech IT 2017."
Android Developer,"Android Developer with 3 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2019. Published multiple apps on Google Play Store."
Web Developer,"Frontend Developer with 3 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2018. Designed responsive and user-friendly web interfaces."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 4 years. B.Tech IT 2023."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 3 years. B.Tech IT 2022."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 4 years experience. MCA 2021."
Data Analyst,"Business Data Analyst with 1 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2015. Delivered actionable insights to stakeholders through reports and dashboards."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 2 years experience. B.Tech 2017."
Testing,"QA Engineer with 6 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2018."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 2 years experience. B.Tech 2016."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 8 years. MCA 2023."
Machine Learning Engineer,"ML Engineer with 1 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2021. Designed and deployed ML models at scale."
Data Science,"Experienced Data Scientist with 2 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2021. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
DevOps Engineer,"DevOps Engineer with 8 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2019. Automated infrastructure and deployment pipelines."
SQL Developer,"SQL Developer with 6 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2016."
Web Developer,"Full Stack Web Developer with 2 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2018. Built scalable web applications and RESTful APIs."
Java Developer,"Java Developer with 8 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2022. Built enterprise-level backend systems."
Web Developer,"Full Stack Web Developer with 1 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2021. Built scalable web applications and RESTful APIs."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 4 years experience. B.Tech IT 2016."
Web Developer,"Frontend Developer with 3 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2022. Designed responsive and user-friendly web interfaces."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 2 years. B.Tech IT 2016."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 2 years experience. B.Tech CSE 2018."
Data Science,"Experienced Data Scientist with 7 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2016. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Web Developer,"Frontend Developer with 4 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2015. Designed responsive and user-friendly web interfaces."
Data Science,"Experienced Data Scientist with 1 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2019. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Data Science,"Experienced Data Scientist with 6 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2020. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
SQL Developer,"SQL Developer with 8 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2020."
Data Science,"Data Scientist with 5 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2023. Experience in building end-to-end ML pipelines and deploying models to production."
Web Developer,"Frontend Developer with 4 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2021. Designed responsive and user-friendly web interfaces."
Machine Learning Engineer,"ML Engineer with 1 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2015. Designed and deployed ML models at scale."
Data Analyst,"Data Analyst with 5 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2023. Analyzed large datasets and created dashboards for business insights."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 1 years. MCA 2021."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 6 years experience. B.Tech CSE 2016."
Web Developer,"Full Stack Web Developer with 2 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2015. Built scalable web applications and RESTful APIs."
Data Analyst,"Data Analyst with 2 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2021. Analyzed large datasets and created dashboards for business insights."
Data Science,"Data Scientist with 6 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2017. Experience in building end-to-end ML pipelines and deploying models to production."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 4 years experience. MCA 2020."
Web Developer,"Full Stack Web Developer with 6 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2015. Built scalable web applications and RESTful APIs."
Testing,"QA Engineer with 6 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2018."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 5 years experience. B.Tech IT 2020."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 5 years experience. B.Tech 2017."
Testing,"QA Engineer with 5 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2016."
Web Developer,"Full Stack Web Developer with 8 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2023. Built scalable web applications and RESTful APIs."
Data Science,"Experienced Data Scientist with 2 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2019. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 1 years. B.Tech IT 2020."
Data Science,"Experienced Data Scientist with 3 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2022. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Java Developer,"Java Developer with 4 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2017. Built enterprise-level backend systems."
Android Developer,"Android Developer with 3 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2015. Published multiple apps on Google Play Store."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 3 years experience. B.Tech IT 2017."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 1 years experience. B.Tech 2020."
Python Developer,"Python Developer with 3 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2016. Built and maintained scalable Python applications."
Python Developer,"Python Developer with 7 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2017. Built and maintained scalable Python applications."
DevOps Engineer,"DevOps Engineer with 4 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2019. Automated infrastructure and deployment pipelines."
DevOps Engineer,"DevOps Engineer with 8 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2017. Automated infrastructure and deployment pipelines."
Python Developer,"Python Developer with 5 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2022. Built and maintained scalable Python applications."
Web Developer,"Full Stack Web Developer with 1 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2023. Built scalable web applications and RESTful APIs."
Testing,"QA Engineer with 5 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2016."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 3 years. B.Tech IT 2018."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 8 years experience. B.Tech CSE 2017."
Web Developer,"Full Stack Web Developer with 4 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2021. Built scalable web applications and RESTful APIs."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 3 years. B.Tech IT 2017."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 3 years experience. B.Tech CSE 2022."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 6 years experience. B.Tech 2021."
Web Developer,"Full Stack Web Developer with 4 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2023. Built scalable web applications and RESTful APIs."
Machine Learning Engineer,"ML Engineer with 8 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2015. Designed and deployed ML models at scale."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 1 years. MCA 2020."
DevOps Engineer,"DevOps Engineer with 4 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2021. Automated infrastructure and deployment pipelines."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 7 years experience. B.Tech IT 2020."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 7 years experience. B.Tech IT 2015."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 1 years. B.Tech IT 2021."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 8 years experience. B.Tech IT 2015."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 8 years experience. B.Tech 2019."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 8 years. MCA 2015."
DevOps Engineer,"DevOps Engineer with 1 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2015. Automated infrastructure and deployment pipelines."
Web Developer,"Frontend Developer with 4 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2019. Designed responsive and user-friendly web interfaces."
Web Developer,"Frontend Developer with 5 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2021. Designed responsive and user-friendly web interfaces."
SQL Developer,"SQL Developer with 6 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2016."
Data Science,"Experienced Data Scientist with 1 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2018. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 7 years experience. MCA 2019."
SQL Developer,"SQL Developer with 2 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2023."
Data Science,"Data Scientist with 6 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2018. Experience in building end-to-end ML pipelines and deploying models to production."
DevOps Engineer,"DevOps Engineer with 4 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2017. Automated infrastructure and deployment pipelines."
DevOps Engineer,"DevOps Engineer with 6 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2018. Automated infrastructure and deployment pipelines."
Web Developer,"Frontend Developer with 2 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2023. Designed responsive and user-friendly web interfaces."
DevOps Engineer,"DevOps Engineer with 4 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2023. Automated infrastructure and deployment pipelines."
Java Developer,"Java Developer with 2 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2021. Built enterprise-level backend systems."
DevOps Engineer,"DevOps Engineer with 4 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2022. Automated infrastructure and deployment pipelines."
Data Analyst,"Business Data Analyst with 7 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2020. Delivered actionable insights to stakeholders through reports and dashboards."
Data Analyst,"Business Data Analyst with 4 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2021. Delivered actionable insights to stakeholders through reports and dashboards."
SQL Developer,"SQL Developer with 3 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2019."
