job_title,job_description,company,location
Machine Learning Engineer,"ML Engineer needed with 5+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",WebSols,Hyderabad
SQL Developer,"SQL Developer with 4+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",CloudBase,Hyderabad
Web Developer,"Hiring Full Stack Web Developer with 3+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",CloudBase,Remote
Android Developer,"Android Developer with 3+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",CloudBase,Pune
Android Developer,"Android Developer with 4+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",CloudBase,Bangalore
Testing,"QA Engineer with 5+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",CloudBase,Chennai
Data Science,"We are looking for a Data Scientist with 1+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",WebSols,Mumbai
DevOps Engineer,"DevOps Engineer with 5+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",InnovateTech,Remote
SQL Developer,"SQL Developer with 2+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",DevHouse,Chennai
Testing,"QA Engineer with 1+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",AI Labs,Pune
Testing,"QA Engineer with 4+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",DataInc,Hyderabad
Python Developer,"Python Developer with 4+ years. Required: Python, Django or Flask, REST API, SQL, Git, Docker. Nice to have: AWS, Redis, GraphQL, Celery. B.Tech IT or CSE.",TechCorp,Bangalore
Android Developer,"Android Developer with 3+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",DataInc,Remote
Web Developer,"Hiring Full Stack Web Developer with 4+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",AI Labs,Chennai
Testing,"QA Engineer with 3+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",DataInc,Delhi
Testing,"QA Engineer with 4+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",DataInc,Bangalore
Java Developer,"Java Developer with 1+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",WebSols,Delhi
Data Analyst,"Data Analyst needed with 5+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",InnovateTech,Bangalore
DevOps Engineer,"DevOps Engineer with 3+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",InnovateTech,Chennai
Testing,"QA Engineer with 2+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",CloudBase,Remote
DevOps Engineer,"DevOps Engineer with 2+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",CloudBase,Chennai
SQL Developer,"SQL Developer with 2+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",CodeWorks,Remote
Machine Learning Engineer,"ML Engineer needed with 3+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",DataInc,Pune
Data Science,"We are looking for a Data Scientist with 3+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",CloudBase,Remote
DevOps Engineer,"DevOps Engineer with 4+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",WebSols,Hyderabad
SQL Developer,"SQL Developer with 2+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",WebSols,Chennai
Web Developer,"Hiring Full Stack Web Developer with 1+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",DevHouse,Delhi
Java Developer,"Java Developer with 4+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",CodeWorks,Pune
Web Developer,"Hiring Full Stack Web Developer with 3+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",DataInc,Mumbai
Android Developer,"Android Developer with 2+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",WebSols,Chennai
Web Developer,"Hiring Full Stack Web Developer with 1+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",InnovateTech,Pune
Testing,"QA Engineer with 3+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",DataInc,Hyderabad
Machine Learning Engineer,"ML Engineer needed with 5+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",AI Labs,Hyderabad
Data Science,"We are looking for a Data Scientist with 1+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",WebSols,Pune
Web Developer,"Hiring Full Stack Web Developer with 5+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",WebSols,Chennai
Data Science,"We are looking for a Data Scientist with 3+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",AI Labs,Bangalore
Data Science,"We are looking for a Data Scientist with 5+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",InnovateTech,Remote
SQL Developer,"SQL Developer with 4+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",DevHouse,Hyderabad
Data Science,"We are looking for a Data Scientist with 4+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",CodeWorks,Mumbai
Web Developer,"Hiring Full Stack Web Developer with 3+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",DevHouse,Hyderabad
Machine Learning Engineer,"ML Engineer needed with 2+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",CloudBase,Delhi
Data Analyst,"Data Analyst needed with 2+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",CodeWorks,Delhi
SQL Developer,"SQL Developer with 4+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",TechCorp,Remote
Machine Learning Engineer,"ML Engineer needed with 5+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",AI Labs,Mumbai
Web Developer,"Hiring Full Stack Web Developer with 5+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",WebSols,Remote
Data Analyst,"Data Analyst needed with 5+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",AI Labs,Hyderabad
Data Science,"We are looking for a Data Scientist with 4+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",CodeWorks,Pune
Java Developer,"Java Developer with 1+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",TechCorp,Pune
Web Developer,"Hiring Full Stack Web Developer with 3+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",CodeWorks,Pune
Testing,"QA Engineer with 2+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",CloudBase,Remote
Python Developer,"Python Developer with 3+ years. Required: Python, Django or Flask, REST API, SQL, Git, Docker. Nice to have: AWS, Redis, GraphQL, Celery. B.Tech IT or CSE.",CodeWorks,Pune
DevOps Engineer,"DevOps Engineer with 2+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",DataInc,Hyderabad
Testing,"QA Engineer with 4+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",CodeWorks,Pune
Web Developer,"Hiring Full Stack Web Developer with 2+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",CodeWorks,Mumbai
Data Science,"We are looking for a Data Scientist with 2+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",DataInc,Pune
Testing,"QA Engineer with 4+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",AI Labs,Pune
Data Science,"We are looking for a Data Scientist with 4+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",TechCorp,Chennai
Java Developer,"Java Developer with 4+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",CloudBase,Hyderabad
Android Developer,"Android Developer with 1+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",AI Labs,Hyderabad
Android Developer,"Android Developer with 5+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",AI Labs,Mumbai
DevOps Engineer,"DevOps Engineer with 1+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",WebSols,Chennai
Python Developer,"Python Developer with 2+ years. Required: Python, Django or Flask, REST API, SQL, Git, Docker. Nice to have: AWS, Redis, GraphQL, Celery. B.Tech IT or CSE.",TechCorp,Hyderabad
Python Developer,"Python Developer with 2+ years. Required: Python, Django or Flask, REST API, SQL, Git, Docker. Nice to have: AWS, Redis, GraphQL, Celery. B.Tech IT or CSE.",AI Labs,Chennai
DevOps Engineer,"DevOps Engineer with 2+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",DataInc,Bangalore
DevOps Engineer,"DevOps Engineer with 2+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",AI Labs,Mumbai
Python Developer,"Python Developer with 2+ years. Required: Python, Django or Flask, REST API, SQL, Git, Docker. Nice to have: AWS, Redis, GraphQL, Celery. B.Tech IT or CSE.",DevHouse,Mumbai
Web Developer,"Hiring Full Stack Web Developer with 2+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",CloudBase,Mumbai
Testing,"QA Engineer with 4+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",CodeWorks,Delhi
Testing,"QA Engineer with 2+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",CloudBase,Delhi
Machine Learning Engineer,"ML Engineer needed with 2+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",CloudBase,Delhi
Web Developer,"Hiring Full Stack Web Developer with 3+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",DevHouse,Hyderabad
Testing,"QA Engineer with 5+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",TechCorp,Mumbai
Machine Learning Engineer,"ML Engineer needed with 4+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",CloudBase,Mumbai
DevOps Engineer,"DevOps Engineer with 1+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",InnovateTech,Pune
Web Developer,"Hiring Full Stack Web Developer with 4+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",TechCorp,Bangalore
Machine Learning Engineer,"ML Engineer needed with 3+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",AI Labs,Bangalore
SQL Developer,"SQL Developer with 4+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",CloudBase,Delhi
DevOps Engineer,"DevOps Engineer with 3+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",DevHouse,Pune
Python Developer,"Python Developer with 5+ years. Required: Python, Django or Flask, REST API, SQL, Git, Docker. Nice to have: AWS, Redis, GraphQL, Celery. B.Tech IT or CSE.",DevHouse,Chennai
Android Developer,"Android Developer with 1+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",TechCorp,Remote
Testing,"QA Engineer with 1+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",AI Labs,Pune
Android Developer,"Android Developer with 4+ years. Required: Kotlin, Java, Android SDK, REST API, Git, Firebase. Nice to have: Jetpack Compose, MVVM, Coroutines. B.Tech CSE.",CloudBase,Mumbai
DevOps Engineer,"DevOps Engineer with 4+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",DevHouse,Mumbai
SQL Developer,"SQL Developer with 5+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",CloudBase,Hyderabad
DevOps Engineer,"DevOps Engineer with 3+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",WebSols,Pune
Web Developer,"Hiring Full Stack Web Developer with 2+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",CodeWorks,Mumbai
Web Developer,"Hiring Full Stack Web Developer with 4+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",CloudBase,Pune
SQL Developer,"SQL Developer with 4+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",TechCorp,Chennai
Data Science,"We are looking for a Data Scientist with 1+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",CodeWorks,Delhi
Java Developer,"Java Developer with 4+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",TechCorp,Remote
SQL Developer,"SQL Developer with 2+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",AI Labs,Remote
Data Science,"We are looking for a Data Scientist with 1+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",CodeWorks,Mumbai
DevOps Engineer,"DevOps Engineer with 3+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",InnovateTech,Bangalore
DevOps Engineer,"DevOps Engineer with 5+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",WebSols,Delhi
Web Developer,"Hiring Full Stack Web Developer with 2+ years. Required: JavaScript, React, Node.js, HTML, CSS, SQL, Git, REST API, Docker. Nice to have: TypeScript, AWS, GraphQL. Degree in Computer Science preferred.",CloudBase,Mumbai
DevOps Engineer,"DevOps Engineer with 3+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",TechCorp,Hyderabad
Java Developer,"Java Developer with 5+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",CodeWorks,Mumbai
DevOps Engineer,"DevOps Engineer with 1+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",AI Labs,Mumbai
Data Analyst,"Data Analyst needed with 4+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",CloudBase,Chennai
Data Analyst,"Data Analyst needed with 3+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",AI Labs,Chennai
SQL Developer,"SQL Developer with 5+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",CodeWorks,Mumbai
DevOps Engineer,"DevOps Engineer with 4+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",WebSols,Bangalore
Data Science,"We are looking for a Data Scientist with 2+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",DataInc,Hyderabad
Testing,"QA Engineer with 4+ years. Required: Selenium, Python or Java, Manual Testing, JIRA, Git, Agile. Nice to have: API Testing, Performance Testing, JMeter. B.Tech preferred.",InnovateTech,Delhi
Python Developer,"Python Developer with 5+ years. Required: Python, Django or Flask, REST API, SQL, Git, Docker. Nice to have: AWS, Redis, GraphQL, Celery. B.Tech IT or CSE.",CloudBase,Bangalore
Java Developer,"Java Developer with 3+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",DataInc,Mumbai
Java Developer,"Java Developer with 5+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",CodeWorks,Delhi
Data Analyst,"Data Analyst needed with 1+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",CodeWorks,Chennai
Data Science,"We are looking for a Data Scientist with 1+ years experience. Must have: Python, SQL, Machine Learning, Deep Learning, TensorFlow, NLP, Docker, AWS, Git. Nice to have: Spark, Kubernetes, MLflow. B.Tech or M.Tech in Computer Science or related field required.",InnovateTech,Chennai
Java Developer,"Java Developer with 1+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",TechCorp,Remote
Machine Learning Engineer,"ML Engineer needed with 1+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",InnovateTech,Pune
DevOps Engineer,"DevOps Engineer with 3+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",DataInc,Bangalore
Machine Learning Engineer,"ML Engineer needed with 2+ years. Required: Python, TensorFlow, PyTorch, Machine Learning, Docker, AWS, Git, SQL. Nice to have: Kubernetes, MLflow, Spark, Airflow.",TechCorp,Mumbai
Java Developer,"Java Developer with 3+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",WebSols,Delhi
Java Developer,"Java Developer with 1+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",WebSols,Mumbai
SQL Developer,"SQL Developer with 2+ years. Must have: SQL, MySQL or PostgreSQL, Stored Procedures, ETL, Power BI. Nice to have: Python, Oracle, Data Warehousing. B.Sc CS or MCA.",InnovateTech,Bangalore
Java Developer,"Java Developer with 1+ years experience. Must have: Java, Spring Boot, REST API, SQL, Git, Docker, Maven. Nice to have: Kubernetes, AWS, Microservices. B.Tech CSE required.",AI Labs,Mumbai
Data Analyst,"Data Analyst needed with 4+ years experience. Must have: SQL, Excel, Power BI, Tableau, Python, Statistics, Data Visualization. Nice to have: R, Machine Learning, ETL. B.Sc or MBA preferred.",CodeWorks,Pune
DevOps Engineer,"DevOps Engineer with 4+ years. Required: Docker, Kubernetes, Jenkins, AWS, Git, Linux, CI/CD, Terraform. Nice to have: Azure, GCP, Ansible, Prometheus. B.Tech preferred.",TechCorp,Chennai
